Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Шахрай;Захар;Олегович;Чоловік;1978-07-19;Швачка;хутір Бібрка;площа Біляївська, буд. 7 кв. 4, Львів, 61100;+380 36 170 90 56;verhunhanna@example.org
Пʼятаченко;Онисим;Федорович;Чоловік;1946-08-26;Шериф;село Лубни;сквер Херсонський, буд. 1 кв. 1, Сєвєродонецьк, 43375;063-33-80;zshchors@example.com
Мазепа;Ярема;Андрійович;Чоловік;1953-09-04;Конструктор;хутір Герца;парк Смоленська, буд. 885, Богодухів, 98217;+380 07 912-32-29;dsmyk@example.com
Гаврилюк;Азар;Юстимович;Чоловік;1968-12-16;Економіст;селище Ужгород;шосе Лінія 48-ма, буд. 80, Ужгород, 87506;+380 58 049-38-54;lutsenkoaaron@example.org
Зубко;Максим;Ааронович;Чоловік;1977-05-22;Літературознавець;село Хрустальний;площа Курортний, буд. 82, Зміїв, 27295;990 51 55;phuz@example.net
Кабаненко;Сергій;Дмитрович;Чоловік;1995-10-18;Педагог;місто Вугледар;площа Ванцетті, буд. 360 кв. 446, Городок, 71532;022 550-63-49;shvaikamykhailo@example.com
Даньків;Пилип;Микитович;Чоловік;1961-01-20;Електрик;село Красноперекопськ;площа Лінія 39-та, буд. 72, Славута, 51268;189-78-80;tiahnybokvladyslav@example.org
Єрьоменко;Франц;Володимирович;Чоловік;1963-11-14;Акушер;село Щастя ;парк Профспілкова, буд. 33, Прип'ять , 77338;021 404 85 23;avreliiivashchenko@example.org
Венгринович;Тарас;Романович;Чоловік;1988-02-27;Золотар;селище Конотоп;шосе Нечипуренка, буд. 855 кв. 66, Іллінці, 07857;+380 30 963 62 94;semenprotsenko@example.com
Пустовіт;Мартин;Несторович;Чоловік;1946-11-29;Письменник;селище Кременчук;парк Лінія 38-ма, буд. 743, Рожище, 96694;086 747 31 20;adadashkevych@example.net
Уманець;Станіслав;Мирославович;Чоловік;1952-10-26;Намотувальник;село Харцизьк;проспект Якірний, буд. 257 кв. 397, Фастів, 49029;+380 45 099 42 16;stefanvernydub@example.com
Канівець;Григорій;Данилович;Чоловік;1975-07-19;Режисер;село Алушта;проспект Північна, буд. 28, Покровськ, 16932;032 710-17-76;borysdankiv@example.net
Ванченко;Хома;Назарович;Чоловік;1959-06-26;Клавішник;хутір Хирів;сквер Перший Кришталевий, буд. 351 кв. 016, Збараж, 14724;286-02-26;prymachenkoanton@example.com
Гунько;Сергій;Августинович;Чоловік;1966-02-19;Конструктор;село Городок;провулок Слєпньова, буд. 028 кв. 798, Южноукраїнськ, 71421;+380 90 968-29-96;vernyhorazlatoslava@example.org
Дубенко;Павло;Макарович;Чоловік;1973-06-19;Етнограф;хутір Новодружеськ;шосе Желябова, буд. 7 кв. 3, Ірміно, 17092;+380 16 905-30-01;lbabych@example.org
Колісниченко;Мартин;Богодарович;Чоловік;1954-04-05;Музикант;хутір Щолкіне;проспект Різовська, буд. 8 кв. 25, Мена , 09228;991-07-70;iakivshamrai@example.org
Закусило;Ростислав;Семенович;Чоловік;1951-03-03;Прокурор;село Авдіївка;шосе Танкістів, буд. 50 кв. 2, Херсон, 40698;279 97 29;klyment75@example.com
Романенко;Климент;Русланович;Чоловік;1957-07-26;Дипломат;село Обухів;парк Глухий міст, буд. 1, Стебник, 83531;014 641-22-68;iaryna84@example.com
Полтавець;Ростислав;Станіславович;Чоловік;1996-04-14;Ріелтор;хутір Прилуки;провулок Совіньйонівський, буд. 2 кв. 441, Дебальцеве, 23948;+380 12 566 42 87;iemetsmartyn@example.net
Дашкевич;Руслан;Сергійович;Чоловік;1950-10-22;Гірничий інженер;селище Мар'їнка;парк Пересипська 10-та, буд. 8, Вознесенськ, 69473;706 83 10;babiukavrelii@example.org
Слюсар;Панас;Богданович;Чоловік;2001-04-15;Мінералог;селище Великі Мости;шосе Дача Ковалевського, буд. 42, Українка , 57601;326 74 64;ikomar@example.com
Акименко;Адам;Мирославович;Чоловік;1991-04-23;Геолог;хутір Лебедин;проспект Сирітський 2-й, буд. 4 кв. 695, Буча, 06068;+380 (18) 887-20-26;sliusarvadym@example.org
Гайворонський;Стефан;Богодарович;Чоловік;1995-05-18;Публіцист;хутір Боярка;проспект Траса Здоров'я, буд. 02 кв. 70, Першотравенськ, 30580;+380 55 354-18-48;marianaromanenko@example.net
Авдєєнко;Антон;Богуславович;Чоловік;1965-11-27;Фармацевт;місто Коростишів;набережна Четверта, буд. 540 кв. 818, Скадовськ, 27938;+380 37 841-01-57;rebrykbohdan@example.org
Сагаль;Веніямин;Антонович;Чоловік;1971-08-15;Літературознавець;хутір Кіцмань;провулок Тещин міст, буд. 2 кв. 2, Чортків, 03013;132 06 00;eibozhenkovolodymyr@example.net
Ковпак;Георгій;Трохимович;Чоловік;2001-03-27;Намотувальник;місто Попасна;площа Морський, буд. 4, Коростишів, 53950;086 489-70-42;priska05@example.net
Лукаш;Прохір;Олексович;Чоловік;1948-11-02;Письменник;місто Попасна;провулок Восьмого березня 5-й, буд. 0, Ладижин, 08379;021 084-64-68;iukhymustenko@example.org
Євтушок;Давид;Вадимович;Чоловік;2007-04-02;Диригент;село Міусинськ;площа Виноградна 1-ша, буд. 07 кв. 96, Маріуполь, 48333;013 191-21-31;ievhen50@example.com
Гресь;Дан;Захарович;Чоловік;1965-11-05;Дипломат;селище Генічеськ;сквер Літній, буд. 21, Мостиська, 85349;150 50 80;herman50@example.org
Кибкало;Роман;Євгенійович;Чоловік;1938-07-21;Няня;хутір Кіцмань;набережна Орловський, буд. 970 кв. 34, Зоринськ, 12986;079 81 85;ievtushokoksana@example.org
Ісаєнко;Хома;Глібович;Чоловік;1947-06-22;Лікар;село Первомайський ;вулиця Сурикова 2-й, буд. 219 кв. 9, Дунаївці, 30179;634 85 93;marynahavryliv@example.com
Архипенко;Зорян;Ігорович;Чоловік;1943-11-19;Дантист;селище Єнакієве;сквер Цегельнозаводська, буд. 981, Миронівка, 92499;098 824 57 55;mykolai30@example.net
Зубко;Панас;Геннадійович;Чоловік;2001-07-01;Гицель;місто Кам'янець-Подільський;набережна Василя Кандинського 2-й, буд. 2, Славута, 69588;078 946 99 29;hzabara@example.com
Лагода;Ярема;Устимович;Чоловік;1945-04-23;Няня;місто Герца;набережна Разумовська, буд. 79, Прип'ять , 91861;+380 (30) 547-65-03;dankopanas@example.com
Сірко;Кирило;Павлович;Чоловік;1981-07-24;Літературознавець;селище Кривий Ріг;площа Партизанської Слави, буд. 122, Токмак, 39449;098-23-45;zaietsbohdanna@example.com
Охримович;Андрій;Леонтійович;Чоловік;1976-11-01;Провізор;хутір Гуляйполе;узвіз Курортний 6-й, буд. 94, Первомайськ, 43031;991 11 73;uhavrylyshyna@example.net
Ванченко;Левко;Зиновійович;Чоловік;1979-01-05;Шериф;хутір Кагарлик;парк 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 54, Нікополь, 58937;039 968 98 98;serhii95@example.net
Сірченко;Борислав;Ааронович;Чоловік;1966-01-27;Флорист;місто Білицьке;парк Деревообробний 1-й, буд. 601 кв. 71, Пирятин, 14270;+380 (43) 336-86-67;halynashynkarenko@example.org
Ґоляш;Левко;Богданович;Чоловік;1959-10-13;Менеджер;хутір Оріхів;узвіз Літакова, буд. 315 кв. 94, Канів, 40433;+380 22 066-39-96;kshmorhun@example.org
Гаєвський;Франц;Іванович;Чоловік;1996-06-27;Композитор;місто Решетилівка;узвіз Севастопольський, буд. 511, Надвірна, 64566;016 515 37 07;nisaievych@example.com
